id,question,A,B,C,D,E,F,G,answer
1,"Let's imagine three companies (A, B and C), all competing in a challenging global environment. Company A and B are working together in developing a product that will generate a major competitive advantage for them. Company A has a secure DNS server while company B has a DNS server vulnerable to spoofing. With a spoofing attack on the DNS server of company B, company C gains access to outgoing e-mails from company B. How do you prevent DNS spoofing?","Install DNS logger and track vulnerable packets","Disable DNS timeouts","Install DNS Anti-spoofing","Disable DNS Zone Transfer","","","","C"
2,"Which Intrusion Detection System is the best applicable for large environments where critical assets on the network need extra scrutiny and is ideal for observing sensitive network segments?","Honeypots","Firewalls","Network-based intrusion detection system (NIDS)","Host-based intrusion detection system (HIDS)","","","","C"
3,"A large company intends to use Blackberry for corporate mobile phones and a security analyst is assigned to evaluate the possible threats. The analyst will use the Blackjacking attack method to demonstrate how an attacker could circumvent perimeter defenses and gain access to the Prometric Online Testing – Reports https://ibt1.prometric.com/users/custom/report_queue/rq_str... corporate network. What tool should the analyst use to perform a Blackjacking attack?","Paros Proxy","BBProxy","Blooover","BBCrack","","","","B"
4,"What is the minimum number of network connections in a multihomed firewall?","3","5","4","2","","","","A"
5,"Which of the following is a component of a risk assessment?","Administrative safeguards","Physical security","DMZ","Logical interface","","","","A"
6,"Session splicing is an IDS evasion technique in which an attacker delivers data in multiple, small sized packets to the target computer, making it very difficult for an IDS to detect the attack signatures. Which tool can be used to perform session splicing attacks?","tcpsplice","Burp","Hydra","Whisker","","","","D"
7,"Which of the following is not a Bluetooth attack?","Bluedriving","Bluesmacking","Bluejacking","Bluesnarfing","","","","A"
8,"What is the proper response for a NULL scan if the port is closed?","SYN","ACK","FIN","PSH","RST","No response","","E"
9,"You are the Network Admin, and you get a complaint that some of the websites are no longer accessible. You try to ping the servers and find them to be reachable. Then you type the IP address and then you try on the browser, and find it to be accessible. But they are not accessible when you try using the URL. What may be the problem?","Traffic is Blocked on UDP Port 53","Traffic is Blocked on TCP Port 80","Traffic is Blocked on TCP Port 54","Traffic is Blocked on UDP Port 80","","","","A"
10,"If a token and 4-digit personal identification number (PIN) are used to access a computer system and the token performs off-line checking for the correct PIN, what type of attack is possible?","Birthday","Brute force","Man-in-the-middle","Smurf","","","","B"
11,"Peter, a Network Administrator, has come to you looking for advice on a tool that would help him perform SNMP enquires over the network. Which of these tools would do the SNMP enumeration he is looking for? Select the best answers.","SNMPUtil","SNScan","SNMPScan","Solarwinds IP Network Browser","NMap","","","ABD"
12,"What is a ??Collision attack?? in cryptography?","Collision attacks try to get the public key","Collision attacks try to break the hash into three parts to get the plaintext value","Collision attacks try to break the hash into two parts, with the same bytes in each part to get the private key","Collision attacks try to find two inputs producing the same hash","","","","D"
13,"PGP, SSL, and IKE are all examples of which type of cryptography?","Digest","Secret Key","Public Key","Hash Algorithm","","","","C"
14,"MX record priority increases as the number increases. (True/False.)","True","False","","","","","","B"
15,"A company??s policy requires employees to perform file transfers using protocols which encrypt traffic. You suspect some employees are still performing file transfers using unencrypted protocols because the employees do not like changes. You have positioned a network sniffer to capture traffic from the laptops used by employees in the data ingest department. Using Wireshark to examine the captured traffic, which command can be used as display filter to find unencrypted file transfers?","tcp.port = = 21","tcp.port = 23","tcp.port = = 21 | | tcp.port = =22","tcp.port ! = 21","","","","A"
16,"s) What is the known plaintext attack used against DES which gives the result that encrypting plaintext with one DES key followed by encrypting it with a second DES key is no more secure than using a single key?","Man-in-the-middle attack","Meet-in-the-middle attack","Replay attack","Traffic analysis attack","","","","B"
17,"Which of the following represents the initial two commands that an IRC client sends to join an IRC network?","USER, NICK","LOGIN, NICK","USER, PASS","LOGIN, USER","","","","A"
18,"The establishment of a TCP connection involves a negotiation called three-way handshake. What type of message does the client send to the server in order to begin this negotiation?","ACK","SYN","RST","SYN-ACK","","","","B"
19,"You just set up a security system in your network. In what kind of system would you find the following string of characters used as a rule within its configuration? alert tcp any any -> 192.168.100.0/24 21 (msg: ????FTP on the network!????;)","A firewall IPTable","FTP Server rule","A Router IPTable","An Intrusion Detection System","","","","D"
20,"Which of the following tools are used for enumeration? (Choose three.)","SolarWinds","USER2SID","Cheops","SID2USER","DumpSec","","","BDE"
21,"s) What is Eve trying to do?","Eve is trying to connect as a user with Administrator privileges","Eve is trying to enumerate all users with Administrative privileges","Eve is trying to carry out a password crack for user Administrator","Eve is trying to escalate privilege of the null user to that of Administrator","","","","C"
22,"You are tasked to perform a penetration test. While you are performing information gathering, you find an employee list in Google. You find the receptionist??s email, and you send her an email changing the source email to her boss??s email (boss@company). In this email, you ask for a pdf with information. She reads your email and sends back a pdf with links. You exchange the pdf links with your malicious links (these links contain malware) and send back the modified pdf, saying that the links don??t work. She reads your email, opens the links, and her machine gets infected. You now have access to the company network. What testing method did you use?","Social engineering","Piggybacking","Tailgating","Eavesdropping","","","","A"
23,"Which of the following statements about a zone transfer is correct? (Choose three.)","A zone transfer is accomplished with the DNS","A zone transfer is accomplished with the nslookup service","A zone transfer passes all zone information that a DNS server maintains","A zone transfer passes all zone information that a nslookup server maintains","A zone transfer can be prevented by blocking all inbound TCP port 53 connections","Zone transfers cannot occur on the Internet","","ACE"
24,"As a securing consultant, what are some of the things you would recommend to a company to ensure DNS security?","Use the same machines for DNS and other applications","Harden DNS servers","Use split-horizon operation for DNS servers","Restrict Zone transfers","Have subnet diversity between DNS servers","","","BCDE"
25,"A hacker is an intelligent individual with excellent computer skills and the ability to explore a computer??s software and hardware without the owner??s permission. Their intention can either be to simply gain knowledge or to illegally make changes. Which of the following class of hacker refers to an individual who works both offensively and defensively at various times?","White Hat","Suicide Hacker","Gray Hat","Black Hat","","","","C"
26,"Which of the following incident handling process phases is responsible for defining rules, collaborating human workforce, creating a back-up plan, and testing the plans for an organization?","Preparation phase","Containment phase","Identification phase","Recovery phase","","","","A"
27,"Which of the following tools is used to detect wireless LANs using the 802.11a/b/g/n WLAN standards on a linux platform?","Kismet","Abel","Netstumbler","Nessus","","","","A"
28,"The configuration allows a wired or wireless network interface controller to pass all traffic it receives to the Central Processing Unit (CPU), rather than passing only the frames that the controller is intended to receive. Which of the following is being described?","Multi-cast mode","Promiscuous mode","WEM","Port forwarding","","","","B"
29,"Which of the following is a low-tech way of gaining unauthorized access to systems?","Social Engineering","Eavesdropping","Scanning","Sniffing","","","","A"
30,"What is correct about digital signatures?","A digital signature cannot be moved from one signed document to another because it is the hash of the original document encrypted with the private key of the signing party.","Digital signatures may be used in different documents of the same type.","A digital signature cannot be moved from one signed document to another because it is a plain hash of the document content.","Digital signatures are issued once for each user and can be used everywhere until they expire.","","","","A"
31,"What is a NULL scan?","A scan in which all flags are turned off","A scan in which certain flags are off","A scan in which all flags are on","A scan in which the packet size is set to zero","A scan with an illegal packet size","","","A"
32,"A large mobile telephony and data network operator has a data center that houses network elements. These are essentially large computers running on Linux. The perimeter of the data center is secured with firewalls and IPS systems. What is the best security policy concerning this setup?","Network elements must be hardened with user ids and strong password","Regular security tests and audits should be performed.","As long as the physical access to the network elements is restricted, there is no need for additional measures.","There is no need for specific security measures on the network elements as long as firewalls and IPS systems exist.","The operator knows that attacks and down time are inevitable and should have a backup site.","","","A"
33,"Which of the following describes the characteristics of a Boot Sector Virus?","Modifies directory table entries so that directory entries point to the virus code instead of the actual program.","Moves the MBR to another location on the RAM and copies itself to the original location of the MBR.","Moves the MBR to another location on the hard disk and copies itself to the original location of the MBR.","Overwrites the original MBR and only executes the new virus code.","","","","C"
34,"The ??Gray-box testing?? methodology enforces what kind of restriction?","Only the external operation of a system is accessible to the tester.","The internal operation of a system in only partly accessible to the tester.","Only the internal operation of a system is known to the tester.","The internal operation of a system is completely known to the tester.","","","","D"
35,"The company ABC recently contracts a new accountant. The accountant will be working with the financial statements. Those financial statements need to be approved by the CFO and then they will be sent to the accountant but the CFO is worried because he wants to be sure that the information sent to the accountant was not modified once he approved it. Which of the following options can be useful to ensure the integrity of the data?","The CFO can use a hash algorithm in the document once he approved the financial statements","The CFO can use an excel file with a password","The financial statements can be sent twice, one by email and the other delivered in USB and the accountant can compare both to be sure is the same document","The document can be sent to the accountant using an exclusive USB for that document","","","","A"
