"Let's imagine three companies (A, B and C), all competing in a challenging global environment. Company A and B are working together in developing a product that will generate a major competitive advantage for them. Company A has a secure DNS server while company B has a DNS server vulnerable to spoofing. With a spoofing attack on the DNS server of company B, company C gains access to outgoing e-mails from company B. How do you prevent DNS spoofing?","A. Install DNS logger and track vulnerable packets<br>B. Disable DNS timeouts<br>C. Install DNS Anti-spoofing ✓<br>D. Disable DNS Zone Transfer<br><br><b>Answer: C</b>"
"Which Intrusion Detection System is the best applicable for large environments where critical assets on the network need extra scrutiny and is ideal for observing sensitive network segments?","A. Honeypots<br>B. Firewalls<br>C. Network-based intrusion detection system (NIDS) ✓<br>D. Host-based intrusion detection system (HIDS)<br><br><b>Answer: C</b>"
"A large company intends to use Blackberry for corporate mobile phones and a security analyst is assigned to evaluate the possible threats. The analyst will use the Blackjacking attack method to demonstrate how an attacker could circumvent perimeter defenses and gain access to the Prometric Online Testing – Reports https://ibt1.prometric.com/users/custom/report_queue/rq_str... corporate network. What tool should the analyst use to perform a Blackjacking attack?","A. Paros Proxy<br>B. BBProxy ✓<br>C. Blooover<br>D. BBCrack<br><br><b>Answer: B</b>"
"What is the minimum number of network connections in a multihomed firewall?","A. 3 ✓<br>B. 5<br>C. 4<br>D. 2<br><br><b>Answer: A</b>"
"Which of the following is a component of a risk assessment?","A. Administrative safeguards ✓<br>B. Physical security<br>C. DMZ<br>D. Logical interface<br><br><b>Answer: A</b>"
"Session splicing is an IDS evasion technique in which an attacker delivers data in multiple, small sized packets to the target computer, making it very difficult for an IDS to detect the attack signatures. Which tool can be used to perform session splicing attacks?","A. tcpsplice<br>B. Burp<br>C. Hydra<br>D. Whisker ✓<br><br><b>Answer: D</b>"
"Which of the following is not a Bluetooth attack?","A. Bluedriving ✓<br>B. Bluesmacking<br>C. Bluejacking<br>D. Bluesnarfing<br><br><b>Answer: A</b>"
"What is the proper response for a NULL scan if the port is closed?","A. SYN<br>B. ACK<br>C. FIN<br>D. PSH<br>E. RST ✓<br>F. No response<br><br><b>Answer: E</b>"
"You are the Network Admin, and you get a complaint that some of the websites are no longer accessible. You try to ping the servers and find them to be reachable. Then you type the IP address and then you try on the browser, and find it to be accessible. But they are not accessible when you try using the URL. What may be the problem?","A. Traffic is Blocked on UDP Port 53 ✓<br>B. Traffic is Blocked on TCP Port 80<br>C. Traffic is Blocked on TCP Port 54<br>D. Traffic is Blocked on UDP Port 80<br><br><b>Answer: A</b>"
"If a token and 4-digit personal identification number (PIN) are used to access a computer system and the token performs off-line checking for the correct PIN, what type of attack is possible?","A. Birthday<br>B. Brute force ✓<br>C. Man-in-the-middle<br>D. Smurf<br><br><b>Answer: B</b>"
"Peter, a Network Administrator, has come to you looking for advice on a tool that would help him perform SNMP enquires over the network. Which of these tools would do the SNMP enumeration he is looking for? Select the best answers.","A. SNMPUtil ✓<br>B. SNScan ✓<br>C. SNMPScan<br>D. Solarwinds IP Network Browser ✓<br>E. NMap<br><br><b>Answer: ABD</b>"
"What is a ??Collision attack?? in cryptography?","A. Collision attacks try to get the public key<br>B. Collision attacks try to break the hash into three parts to get the plaintext value<br>C. Collision attacks try to break the hash into two parts, with the same bytes in each part to get the private key<br>D. Collision attacks try to find two inputs producing the same hash ✓<br><br><b>Answer: D</b>"
"PGP, SSL, and IKE are all examples of which type of cryptography?","A. Digest<br>B. Secret Key<br>C. Public Key ✓<br>D. Hash Algorithm<br><br><b>Answer: C</b>"
"MX record priority increases as the number increases. (True/False.)","A. True<br>B. False ✓<br><br><b>Answer: B</b>"
"A company??s policy requires employees to perform file transfers using protocols which encrypt traffic. You suspect some employees are still performing file transfers using unencrypted protocols because the employees do not like changes. You have positioned a network sniffer to capture traffic from the laptops used by employees in the data ingest department. Using Wireshark to examine the captured traffic, which command can be used as display filter to find unencrypted file transfers?","A. tcp.port = = 21 ✓<br>B. tcp.port = 23<br>C. tcp.port = = 21 | | tcp.port = =22<br>D. tcp.port ! = 21<br><br><b>Answer: A</b>"
"s) What is the known plaintext attack used against DES which gives the result that encrypting plaintext with one DES key followed by encrypting it with a second DES key is no more secure than using a single key?","A. Man-in-the-middle attack<br>B. Meet-in-the-middle attack ✓<br>C. Replay attack<br>D. Traffic analysis attack<br><br><b>Answer: B</b>"
"Which of the following represents the initial two commands that an IRC client sends to join an IRC network?","A. USER, NICK ✓<br>B. LOGIN, NICK<br>C. USER, PASS<br>D. LOGIN, USER<br><br><b>Answer: A</b>"
"The establishment of a TCP connection involves a negotiation called three-way handshake. What type of message does the client send to the server in order to begin this negotiation?","A. ACK<br>B. SYN ✓<br>C. RST<br>D. SYN-ACK<br><br><b>Answer: B</b>"
"You just set up a security system in your network. In what kind of system would you find the following string of characters used as a rule within its configuration? alert tcp any any -> 192.168.100.0/24 21 (msg: ????FTP on the network!????;)","A. A firewall IPTable<br>B. FTP Server rule<br>C. A Router IPTable<br>D. An Intrusion Detection System ✓<br><br><b>Answer: D</b>"
"Which of the following tools are used for enumeration? (Choose three.)","A. SolarWinds<br>B. USER2SID ✓<br>C. Cheops<br>D. SID2USER ✓<br>E. DumpSec ✓<br><br><b>Answer: BDE</b>"
